Projectname,Path,LOC
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,5
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,9
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,27
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,30
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,21
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/house/house.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/job/job.test.js,10
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/job/job.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/http/http.test.js,22
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/http/http.test.js,20
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/http/http.test.js,27
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/light/light.turnOn.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/light/light.turnOn.test.js,5
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/location/location.test.js,16
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/location/location.test.js,14
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/message/message.test.js,17
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/message/message.test.js,21
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/ping/ping.controller.test.js,5
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,15
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,19
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,19
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/room/room.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/scene/scene.test.js,21
